max_bits,n,time_avg
4,100,0.14473099838054987
4,1000,1.4767048102968667
4,10000,16.4994449532102
6,100,0.15643452657274787
6,1000,1.6033201404968
6,10000,17.4305770889899
8,100,0.17717690345650636
8,1000,1.5256932404423333
8,10000,19.28252847782057
10,100,0.22122347616537993
10,1000,1.7400495721846667
10,10000,21.5465093344737
12,100,0.19035385810722122
12,1000,1.8210917630875334
12,10000,23.5199975702146
14,100,0.20816647641668312
14,1000,2.0305052381617332
14,10000,26.061301191692067
16,100,0.21474495241852587
16,1000,1.9881084250906333
16,10000,29.16953523804067
18,100,0.19052666625828324
18,1000,2.043226189839167
18,10000,32.24408923623343
20,100,0.23890976029043212
20,1000,1.8711075730000335
20,10000,36.151296378756264
