max_bits,n,time_avg
4,100,0.17285037929898747
4,1000,1.7683248096587998
4,10000,28.002752527494664
6,100,0.19215314213868379
6,1000,2.1179828098475
6,10000,36.3116719984515
8,100,0.2316362363107829
8,1000,2.1680958092300666
8,10000,47.78222042867633
10,100,0.2741131923227
10,1000,2.626250477208334
10,10000,65.50681571492782
12,100,0.22322900033371396
12,1000,2.8770730963774334
12,10000,67.03822242949774
14,100,0.21897866515370226
14,1000,2.7774331905501333
14,10000,66.75648309395726
16,100,0.3284962835354667
16,1000,4.312355376896333
16,10000,119.78422985633915
18,100,0.35867428717506666
18,1000,4.296525095317733
18,10000,119.00792195090261
20,100,0.3467912354694
20,1000,4.5218854315211665
20,10000,119.23454952262708
