distribution,n,time_avg
uniform_small,100,0.19797088951608924
uniform_small,1000,1.7227530472500665
uniform_small,10000,24.759102030657097
skewed,100,0.20454922300158673
skewed,1000,1.8205096509070111
skewed,10000,24.773972316151596
outlier,100,0.17823576017110052
outlier,1000,1.8233396193761777
outlier,10000,24.435352143001765
