n,method,compress_decompress_time_avg
100,method1,0.19358529089625884
1000,method1,1.7888674391777517
10000,method1,24.656142163270154
100,method2,0.2607691579709449
1000,method2,3.0517695662897224
10000,method2,74.3805408358749
