distribution,method,max_bits,n,compress_time_avg,decompress_time_avg,get_time_avg
uniform_small,method1,4,100,0.11156642826140992,0.07902014060943786,2.3862328567442352
uniform_small,method2,4,100,0.08581485599279404,0.07391199635873948,1.746577859324004
uniform_small,method1,6,100,0.10673728996023003,0.0809860004145386,2.487253142005232
uniform_small,method2,6,100,0.11673457421628493,0.105909288062581,2.2663254307449927
uniform_small,method1,8,100,0.08838871560458626,0.07224543203067567,1.986322573169933
uniform_small,method2,8,100,0.11946813901886344,0.11803142634952175,2.257974712327788
uniform_small,method1,10,100,0.11620571396114039,0.08622399972019983,2.2470097194725116
uniform_small,method2,10,100,0.13852471602149308,0.13723800033663533,2.2022911434760317
uniform_small,method1,12,100,0.12623314354901335,0.0976680000478934,2.587505429151601
uniform_small,method2,12,100,0.11637557015222098,0.11635543238038995,1.8391971430641465
uniform_small,method1,14,100,0.11165585601702332,0.09113271828807358,2.364003427958648
uniform_small,method2,14,100,0.141687855440458,0.12951528645187085,2.311872289283201
uniform_small,method1,16,100,0.10986028480276998,0.09035471469230417,2.306614285251791
uniform_small,method2,16,100,0.16881628419339126,0.1816468554482396,2.3188461429007083
uniform_small,method1,18,100,0.09530328679829836,0.07938956800249539,1.8721622826498268
uniform_small,method2,18,100,0.1677982841751405,0.18069885637877242,2.2467001399490982
uniform_small,method1,20,100,0.13443414146812366,0.10433257141682718,2.477395429325822
uniform_small,method2,20,100,0.1675587139158909,0.18509899590363993,2.1250070026975925
uniform_small,method1,4,1000,0.8540474289994953,0.5976208568816739,2.1003232873876447
uniform_small,method2,4,1000,1.2672875725132013,0.8633364299644849,2.3184571411028236
uniform_small,method1,6,1000,0.8297727139766461,0.6047245738695243,1.9954417137861518
uniform_small,method2,6,1000,1.2982871474897755,0.8714478566876745,2.1357027123615677
uniform_small,method1,8,1000,0.6885541432503877,0.5112174299678632,1.6089907148852944
uniform_small,method2,8,1000,1.3796321415741528,0.8673377139660131,2.0498179967814525
uniform_small,method1,10,1000,0.8993844281316602,0.6923058556692142,2.0412078572137813
uniform_small,method2,10,1000,1.351336857104408,0.8997835746933041,1.695384001193036
uniform_small,method1,12,1000,1.0960674283394058,0.7831891458148935,2.2989817142453313
uniform_small,method2,12,1000,1.779303143848665,1.1155628599226475,2.1414495692754696
